channel,city,region,customer_name,order_date,order_id,department,product_category_gender,product_sub_category,product_sku,product_name,distance_from_warehouse,price,cost_of_sale,discount,order_quantity,sales,gross_profit,gross_profit_margin
Franchise,Launcells,Cornwall,Digital Solutions Inc,30.12.19,17058,Clothing,Men,Tees,MS04-S-Black,Gobi HeatTec&reg; Tee-S-Black,85,25,191.30 ,0.00 ,15,375,184,49.0%
Franchise,Wollaton West Ward,Nottinghamshire,"Neeley, Gregory W Esq",30.12.19,52640,Clothing,Men,Shorts,MSH03-32-Blue,Meteor Workout Short-32-Blue,15,43,441.20 ,0.10 ,18,774,333,43.0%
Small chain store,Central Buchan Ward,Aberdeenshire,"Gavin, Lee W Esq",30.12.19,16262,Clothing,Men,Shorts,MSH05-33-Blue,Hawkeye Yoga Short-33-Blue,90,31,173.90 ,0.10 ,11,341,167,49.0%
Small chain store,Loundsley Green Ward,Derbyshire,Farmers Electric Co Op Inc,30.12.19,2277,Clothing,Men,Tees,MS07-M-White,Deion Long-Sleeve EverCool&trade; Tee-M-White,55,12,30.00 ,0.00 ,10,120,90,75.0%
Franchise,Lancing,West Sussex,Harris Oldsmobile Inc,31.12.19,24033,Clothing,Men,Tanks,MT05-XS-Blue,Rocco Gym Tank-XS-Blue,25,21,640.50 ,0.00 ,50,1050,410,39.0%
Franchise,Lancing,West Sussex,Everythings A Dollar,31.12.19,10144,Clothing,Men,Tees,MS10-S-Red,Logan  HeatTec&reg; Tee-S-Red,25,18,175.70 ,0.10 ,16,288,112,39.0%
Franchise,St. Marys Ward,Greater Manchester,Demer Normann Smith Ltd,31.12.19,10144,Clothing,Men,Hoodies & Sweatshirts,MH13-M-Lavender,Marco Lightweight Active Hoodie-M-Lavender,70,33,364.30 ,0.10 ,24,792,428,54.0%
Small chain store,Abbey Ward,Buckinghamshire,Morelli Hoskins Ford,31.12.19,10436,Clothing,Men,Shorts,MSH01-33-Red,Cobalt CoolTech&trade; Fitness Short-33-Red,160,36,406.10 ,0.10 ,24,864,458,53.0%
Supermarket,Bargate Ward,Southampton,Alphabetland Pre School Center,31.12.19,10144,Clothing,Men,Tees,MS01-XS-Black,Aero Daily Fitness Tee-XS-Black,35,9,2.50 ,0.00 ,1,9,7,72.2%
Local store,Carbrooke,Norfolk,Scott Marlow Agency,01.01.20,4006,Clothing,Men,Jackets,MJ08-XS-Green,Lando Gym Jacket-XS-Green,205,45,581.40 ,0.10 ,38,1710,1129,66.0%
Local store,City and Hunslet Ward,West Yorkshire,Print Shop,01.01.20,25188,Clothing,Men,Tees,MS11-M-Yellow,Atomic Endurance Running Tee (V-neck)-M-Yellow,20,12,153.60 ,0.00 ,20,240,86,36.0%
Small chain store,Carbrooke,Norfolk,Exhibit Crafts Inc,01.01.20,9221,Clothing,Women,Bras & Tanks,WB02-L-Blue,Erica Evercool Sports Bra-L-Blue,205,13,50.30 ,0.00 ,9,117,67,57.0%
Supermarket,Bargate Ward,Southampton,Alphabetland Pre School Center,01.01.20,9221,Clothing,Men,Shorts,MSH01-36-Red,Cobalt CoolTech&trade; Fitness Short-36-Red,35,32,304.00 ,0.00 ,25,800,496,62.0%
Local store,Lye and Stourbridge North Ward,West Midlands,Kaysers Nutrition Center,02.01.20,6560,Clothing,Men,Pants,MP02-36-Gray,Viktor LumaTech&trade; Pant-36-Gray,25,50,1091.50 ,0.00 ,37,1850,759,41.0%
Local store,Llangeler Community,Ceredigion,Radisson Suite Hotel,02.01.20,802,Clothing,Men,Pants,MP03-32-Blue,Geo Insulated Jogging Pant-32-Blue,50,38,21.30 ,0.10 ,2,76,55,72.0%
Franchise,Carbrooke,Norfolk,Karl May General Contractor,02.01.20,6560,Clothing,Men,Tanks,MT02-M-Gray,Tristan Endurance Tank-M-Gray,205,19,178.60 ,0.10 ,20,380,201,53.0%
Franchise,Stratfield Mortimer,Berkshire,"Mullins, Glen Esq",02.01.20,33473,Clothing,Men,Pants,MP07-33-Purple,Thorpe Track Pant-33-Purple,75,34,918.00 ,0.10 ,50,1700,782,46.0%
Franchise,Parwich,Derbyshire,Jeanettes Drapery & Upholstery,02.01.20,54528,Clothing,Men,Tees,MS03-M-Orange,Balboa Persistence Tee-M-Orange,175,7,59.90 ,0.00 ,15,105,45,43.0%
Franchise,Bargate Ward,Southampton,Wrangle Hill Auto Auct & Slvg,02.01.20,52486,Clothing,Men,Jackets,MJ07-L-Red,Orion Two-Tone Fitted Jacket-L-Red,35,58,1474.40 ,0.10 ,41,2378,904,38.0%
Small chain store,Abbey Ward,Buckinghamshire,"Mayo, Timothy L Esq",02.01.20,44198,Clothing,Men,Pants,MP09-33-Red,Livingston All-Purpose Tight-33-Red,160,45,582.80 ,0.00 ,35,1575,992,63.0%
Supermarket,Abbey Ward,Buckinghamshire,Green Point Savings Bank,02.01.20,802,Clothing,Men,Shorts,MSH08-33-Blue,Orestes Fitness Short-33-Blue,160,43,808.80 ,0.10 ,33,1419,610,43.0%
Supermarket,Abbey Ward,Buckinghamshire,Association Of Art Museum Dir,02.01.20,54528,Clothing,Men,Hoodies & Sweatshirts,MH12-S-Blue,Ajax Full-Zip Sweatshirt -S-Blue,160,33,157.10 ,0.00 ,17,561,404,72.0%
Supermarket,Saffron Walden,Essex,Chile Pepper Magazine,02.01.20,58054,Clothing,Men,Tanks,MT01-XL-Gray,Erikssen CoolTech&trade; Fitness Tank-XL-Gray,80,25,162.50 ,0.00 ,26,650,488,75.0%
Supermarket,Franche Ward,Hereford and Worcester,Cinemax Cable Pay Tv Svce,02.01.20,54528,Clothing,Women,Bras & Tanks,WB04-S-Yellow,Prima Compete Bra Top-S-Yellow,35,26,79.00 ,0.10 ,8,208,129,62.0%
Local store,Millwall Ward,Greater London,Kluza Associates,03.01.20,25028,Clothing,Men,Tanks,MT11,Atlas Fitness Tank,95,23,42.60 ,0.00 ,5,115,72,63.0%
Franchise,Sefton,Merseyside,Ardrox,03.01.20,25028,Clothing,Women,Hoodies & Sweatshirts,WH01-L-Orange,Mona Pullover Hoodlie-L-Orange,40,40,352.80 ,0.00 ,14,560,207,37.0%
Local store,"Broxburn, Uphall and Winchburg",West Lothian,John Noda A Law Ofc Lawrence E,04.01.20,43808,Clothing,Men,Tees,MS07-S-Green,Deion Long-Sleeve EverCool&trade; Tee-S-Green,155,8,53.80 ,0.00 ,16,128,74,58.0%
Local store,"Broxburn, Uphall and Winchburg",West Lothian,Weiss Spirt & Guyer,04.01.20,8195,Clothing,Men,Hoodies & Sweatshirts,MH13-S-Blue,Marco Lightweight Active Hoodie-S-Blue,155,28,18.80 ,0.10 ,1,28,9,32.9%
Local store,East Southbourne and Tuckton W,Bournemouth,Smith & Dekay Ps,04.01.20,35845,Clothing,Men,Tanks,MT02-XL-Red,Tristan Endurance Tank-XL-Red,20,17,84.20 ,0.10 ,15,255,171,67.0%
Franchise,Bargate Ward,Southampton,"Watson, Richard I Md",04.01.20,8195,Clothing,Women,Bras & Tanks,WB04-S-Purple,Prima Compete Bra Top-S-Purple,35,12,90.50 ,0.00 ,26,312,222,71.0%
Small chain store,Lye and Stourbridge North Ward,West Midlands,"Kelly, Mark C",04.01.20,29958,Clothing,Men,Tanks,MT08-XL-Green,Sparta Gym Tank-XL-Green,25,23,400.00 ,0.00 ,47,1081,681,63.0%
Supermarket,Astley Bridge Ward,Greater Manchester,A 1 Plumbers Supply,04.01.20,8195,Clothing,Men,Shorts,MSH01-32-Blue,Cobalt CoolTech&trade; Fitness Short-32-Blue,75,38,64.60 ,0.10 ,5,190,125,66.0%
Supermarket,Malmesbury,Wiltshire,"Godfroy, William Esq",04.01.20,29958,Clothing,Men,Shorts,MSH07-33-Purple,Rapha  Sports Short-33-Purple,100,40,665.60 ,0.10 ,32,1280,614,48.0%
Local store,Bishop Auckland,County Durham,Combs Sheetmetal,05.01.20,3488,Clothing,Men,Jackets,MJ11-M-Green,Typhon Performance Fleece-lined Jacket-M-Green,30,57,644.70 ,0.10 ,39,2223,1578,71.0%
Supermarket,Abbey Ward,Buckinghamshire,Accurate Engraving Co,05.01.20,50945,Clothing,Men,Jackets,MJ04-XL-Black,Kenobi Trail Jacket-XL-Black,160,62,569.20 ,0.00 ,27,1674,1105,66.0%
Supermarket,Abbey Ward,Buckinghamshire,First Ozaukee Savings Bank,05.01.20,3488,Clothing,Men,Pants,MP01-32-Black,Caesar Warm-Up Pant-32-Black,160,36,71.30 ,0.00 ,6,216,145,67.0%
Local store,Kempshott Ward,Hampshire,Pigeon Falls State Bank,06.01.20,46402,Clothing,Men,Jackets,MJ01-XS-Yellow,Beaumont Summit Kit-XS-Yellow,55,41,365.30 ,0.00 ,27,1107,742,67.0%
Franchise,Abbey Ward,Buckinghamshire,"Mata, Mario A Esq",06.01.20,46402,Clothing,Women,Hoodies & Sweatshirts,WH06-S-Purple,Daphne Full-Zip Hoodie-S-Purple,160,32,464.00 ,0.00 ,29,928,464,50.0%
Franchise,Marldon,Devon,Brewster Wallcoverings Co,06.01.20,7840,Clothing,Men,Pants,MP12-33-Black,Cronus Yoga Pant -33-Black,45,44,403.90 ,0.10 ,34,1496,1092,73.0%
Franchise,Newquay,Cornwall,"Blanton, Mary R Attorney",06.01.20,58340,Clothing,Women,Bras & Tanks,WB03-XS-Red,Celeste Sports Bra-XS-Red,95,16,305.30 ,0.00 ,36,576,271,47.0%
Small chain store,St. Stephens Ward,Kent,Interdependence Associates Inc,06.01.20,46402,Clothing,Men,Hoodies & Sweatshirts,MH09-M-Blue,Abominable Hoodie-M-Blue,40,29,201.80 ,0.00 ,12,348,146,42.0%
Supermarket,Carbrooke,Norfolk,Ottumwa Glass Co,06.01.20,52672,Clothing,Men,Tanks,MT01-L-Red,Erikssen CoolTech&trade; Fitness Tank-L-Red,205,25,195.80 ,0.10 ,29,725,529,73.0%
Local store,Carbrooke,Norfolk,Hydrick Law Offices,07.01.20,23556,Clothing,Men,Tees,MS11-M-Green,Atomic Endurance Running Tee (V-neck)-M-Green,205,21,357.00 ,0.10 ,34,714,357,50.0%
Franchise,Abbey Ward,Buckinghamshire,South Bldg Code Congres,07.01.20,43814,Clothing,Men,Hoodies & Sweatshirts,MH10-L-Red,Mach Street Sweatshirt -L-Red,160,44,510.40 ,0.10 ,40,1760,1250,71.0%
Franchise,Marldon,Devon,"Flash, Elena Salerno Esq",07.01.20,1445,Clothing,Women,Bras & Tanks,WB01-XL-Purple,Electra Bra Top-XL-Purple,45,26,358.80 ,0.10 ,30,780,421,54.0%
Franchise,St. Enoder,Cornwall,"Rosati, Marc D Esq",07.01.20,43814,Clothing,Men,Shorts,MSH09-34-Blue,Troy Yoga Short-34-Blue,30,28,592.20 ,0.00 ,47,1316,724,55.0%
Franchise,East Putney Ward,Greater London,Bohs Well Drilling Inc,07.01.20,40225,Clothing,Men,Hoodies & Sweatshirts,MH06-L-Black,Stark Fundamental Hoodie-L-Black,70,37,932.40 ,0.10 ,45,1665,733,44.0%
Franchise,Aldborough Ward,Greater London,"Teti, Louis N Esq",07.01.20,40225,Clothing,Men,Shorts,MSH01,Cobalt CoolTech&trade; Fitness Short,35,27,607.50 ,0.10 ,50,1350,743,55.0%
Franchise,Parwich,Derbyshire,"Rosati, Marc D Esq",07.01.20,14693,Clothing,Men,Jackets,MJ02-XL-Red,Hyperion Elements Jacket-XL-Red,175,42,957.60 ,0.10 ,38,1596,638,40.0%
Small chain store,Govan Ward,Glasgow City,Taylor Inn,07.01.20,1445,Clothing,Women,Hoodies & Sweatshirts,WH01-M-Purple,Mona Pullover Hoodlie-M-Purple,35,43,83.90 ,0.00 ,3,129,45,35.0%
Small chain store,Llangeler Community,Ceredigion,"Dering, James E Esq",07.01.20,14693,Clothing,Men,Shorts,MSH12-34-Black,Pierce Gym Short-34-Black,50,27,516.00 ,0.00 ,39,1053,537,51.0%
Supermarket,Conisbrough and Denaby Ward,South Yorkshire,Sherpa Corp,07.01.20,19654,Clothing,Men,Pants,MP12-36-Black,Cronus Yoga Pant -36-Black,70,32,117.80 ,0.00 ,8,256,138,54.0%
Local store,Carbrooke,Norfolk,Budget Annex,08.01.20,40420,Clothing,Men,Hoodies & Sweatshirts,MH10-XL-Blue,Mach Street Sweatshirt -XL-Blue,205,34,456.30 ,0.10 ,22,748,292,39.0%
Local store,Middlewich,Cheshire,K C Products Co,08.01.20,32901,Clothing,Men,Tees,MS01-M-Yellow,Aero Daily Fitness Tee-M-Yellow,60,16,129.00 ,0.00 ,13,208,79,38.0%
Franchise,Abbey Ward,Buckinghamshire,"Cain, John M Esq",08.01.20,41895,Clothing,Men,Hoodies & Sweatshirts,MH04-S-White,Frankie  Sweatshirt-S-White,160,29,58.00 ,0.10 ,8,232,174,75.0%
Franchise,Abbey Ward,Buckinghamshire,"Mata, Mario A Esq",08.01.20,41254,Clothing,Men,Tees,MS05-L-Purple,Helios EverCool&trade; Tee-L-Purple,160,24,142.80 ,0.10 ,17,408,265,65.0%
Franchise,Bishop Auckland,County Durham,Rust Evader Corp,08.01.20,35266,Clothing,Men,Tanks,MT05-S-Blue,Rocco Gym Tank-S-Blue,30,23,225.40 ,0.10 ,28,644,419,65.0%
Franchise,Staple Hill Ward,South Gloucestershire,Ardent Studios Inc,08.01.20,40420,Clothing,Men,Tees,MS10-S-Black,Logan  HeatTec&reg; Tee-S-Black,60,17,306.00 ,0.10 ,50,850,544,64.0%
Small chain store,Carbrooke,Norfolk,Exhibit Crafts Inc,08.01.20,20805,Clothing,Men,Jackets,MJ02-XS-Orange,Hyperion Elements Jacket-XS-Orange,205,62,111.60 ,0.10 ,3,186,74,40.0%
Small chain store,St. Stephens Ward,Kent,"Hancock, John J Esq",08.01.20,35266,Clothing,Women,Hoodies & Sweatshirts,WH08-S-Orange,Cassia Funnel Sweatshirt-S-Orange,40,41,1039.40 ,0.10 ,39,1599,560,35.0%
Small chain store,Steornabhagh a Deas Ward,Western Isles,General Appraisal Co,08.01.20,42081,Clothing,Women,Hoodies & Sweatshirts,WH08-S-Purple,Cassia Funnel Sweatshirt-S-Purple,50,35,609.70 ,0.00 ,26,910,300,33.0%
Small chain store,Parwich,Derbyshire,Sheraton Inn Ocean Front,08.01.20,20805,Clothing,Men,Shorts,MSH05,Hawkeye Yoga Short,175,42,307.40 ,0.10 ,12,504,197,39.0%
Supermarket,Bargate Ward,Southampton,Alphabetland Pre School Center,08.01.20,42081,Clothing,Men,Tees,MS07-XL-Green,Deion Long-Sleeve EverCool&trade; Tee-XL-Green,35,25,39.00 ,0.10 ,3,75,36,48.0%
Supermarket,Woodstock Ward,South Gloucestershire,Safeguard Chemical Corp,08.01.20,20805,Clothing,Men,Pants,MP09-36-Blue,Livingston All-Purpose Tight-36-Blue,35,44,600.60 ,0.10 ,35,1540,939,61.0%
Supermarket,Woodstock Ward,South Gloucestershire,Safeguard Chemical Corp,08.01.20,20805,Clothing,Men,Tanks,MT11-M-Blue,Atlas Fitness Tank-M-Blue,35,23,80.00 ,0.10 ,12,276,196,71.0%
Supermarket,Bintree,Norfolk,"Miller, William E Iii",08.01.20,42081,Clothing,Men,Jackets,MJ04,Kenobi Trail Jacket,80,45,891.00 ,0.00 ,36,1620,729,45.0%
Local store,Carbrooke,Norfolk,Transbay Steel Corp,09.01.20,46468,Clothing,Men,Hoodies & Sweatshirts,MH04-XS-White,Frankie  Sweatshirt-XS-White,205,34,782.00 ,0.10 ,46,1564,782,50.0%
Local store,Marldon,Devon,Creative Photography Inc,09.01.20,21670,Clothing,Men,Jackets,MJ04-M-Purple,Kenobi Trail Jacket-M-Purple,45,42,403.20 ,0.00 ,24,1008,605,60.0%
Local store,Ryde,Isle of Wight,New York C Liquidators Inc,09.01.20,12773,Clothing,Men,Hoodies & Sweatshirts,MH01-XL-Orange,Chaz Kangeroo Hoodie-XL-Orange,40,32,200.60 ,0.10 ,19,608,407,67.0%
Local store,Middlewich,Cheshire,K C Products Co,09.01.20,12773,Clothing,Men,Tanks,MT04,Helios Endurance Tank,60,15,107.10 ,0.00 ,21,315,208,66.0%
Franchise,Loundsley Green Ward,Derbyshire,Pacific Coast Packaging,09.01.20,12773,Clothing,Men,Tees,MS10-M-Black,Logan  HeatTec&reg; Tee-M-Black,55,5,22.50 ,0.00 ,15,75,53,70.0%
Franchise,Crompton Ward,Greater Manchester,Interdependence Associates Inc,09.01.20,4134,Clothing,Men,Jackets,MJ07-S-Red,Orion Two-Tone Fitted Jacket-S-Red,90,45,626.40 ,0.00 ,48,2160,1534,71.0%
Small chain store,Abbey Ward,Buckinghamshire,Lasting Impressions,09.01.20,46468,Clothing,Men,Pants,MP03-36-Blue,Geo Insulated Jogging Pant-36-Blue,160,51,24.50 ,0.00 ,1,51,27,52.0%
Supermarket,Longhill Ward,"Yorkshire, East (North Humbers",Inter American Press Assn,09.01.20,46468,Clothing,Men,Jackets,MJ11-XS-Green,Typhon Performance Fleece-lined Jacket-XS-Green,25,59,943.40 ,0.10 ,41,2419,1476,61.0%
Supermarket,Abbey Ward,Buckinghamshire,Applied Robotic Tech Inc,09.01.20,4134,Clothing,Men,Pants,MP03-34-Green,Geo Insulated Jogging Pant-34-Green,160,54,434.70 ,0.00 ,23,1242,807,65.0%
Supermarket,Parwich,Derbyshire,Dale Yoder Clu Life Hlth & Bus,09.01.20,12773,Clothing,Women,Bras & Tanks,WB05-XL-Orange,Lucia Cross-Fit Bra -XL-Orange,175,25,78.00 ,0.10 ,6,150,72,48.0%
Franchise,Carbrooke,Norfolk,Karl May General Contractor,11.01.20,55815,Clothing,Men,Shorts,MSH03-33-Blue,Meteor Workout Short-33-Blue,205,25,259.00 ,0.00 ,28,700,441,63.0%
Small chain store,Westgate Ward,Gloucestershire,Blaineco Structural Movers,11.01.20,18370,Clothing,Men,Tees,MS03-L-Orange,Balboa Persistence Tee-L-Orange,50,14,223.90 ,0.00 ,41,574,350,61.0%
Supermarket,Abbey Ward,Buckinghamshire,Domestic Intrntl Techlgy Ltd,11.01.20,29409,Clothing,Men,Tees,MS12-M-Red,Atomic Endurance Running Tee (Crew-Neck)-M-Red,160,25,339.30 ,0.10 ,23,575,236,41.0%
Franchise,Abbey Ward,Buckinghamshire,Wa Inst For Plcy Studies,12.01.20,21379,Clothing,Men,Shorts,MSH10-33-Green,Sol Active Short-33-Green,160,29,649.60 ,0.10 ,35,1015,365,36.0%
Local store,New Milton,Hampshire,Wuhf Fox 31,13.01.20,46147,Clothing,Men,Shorts,MSH09-32-Black,Troy Yoga Short-32-Black,35,42,507.80 ,0.10 ,39,1638,1130,69.0%
Franchise,St. Ive,Cornwall,William A Geppert True Value,13.01.20,46147,Clothing,Men,Shorts,MSH10-36-Blue,Sol Active Short-36-Blue,40,32,192.00 ,0.10 ,12,384,192,50.0%
Small chain store,Conisbrough and Denaby Ward,South Yorkshire,Em Building Products Inc,13.01.20,49189,Clothing,Men,Shorts,MSH09-33-Blue,Troy Yoga Short-33-Blue,70,38,316.20 ,0.10 ,32,1216,900,74.0%
Small chain store,Parwich,Derbyshire,Sheraton Inn Ocean Front,13.01.20,46147,Clothing,Men,Tees,MS06-L-Blue,Zoltan Gym Tee-L-Blue,175,8,121.40 ,0.00 ,37,296,175,59.0%
Franchise,Loundsley Green Ward,Derbyshire,Pacific Coast Packaging,14.01.20,19365,Clothing,Men,Shorts,MSH06-34-Blue,Lono Yoga Short-34-Blue,55,27,485.50 ,0.00 ,29,783,298,38.0%
Supermarket,Abbey Ward,Buckinghamshire,Applied Robotic Tech Inc,14.01.20,25669,Clothing,Women,Hoodies & Sweatshirts,WH08-S-White,Cassia Funnel Sweatshirt-S-White,160,27,165.20 ,0.00 ,12,324,159,49.0%
Local store,East Southbourne and Tuckton W,Bournemouth,"Elliott, John W Esq",15.01.20,46980,Clothing,Men,Shorts,MSH08-36-Black,Orestes Fitness Short-36-Black,20,33,516.10 ,0.00 ,34,1122,606,54.0%
Local store,South Ward,North Eart Lincolnshire,"Bork, Terry D Esq",15.01.20,35780,Clothing,Women,Hoodies & Sweatshirts,WH06-S-Purple,Daphne Full-Zip Hoodie-S-Purple,60,26,98.30 ,0.00 ,6,156,58,37.0%
Franchise,Abbey Ward,Buckinghamshire,Engelbrecht Ackerman & Hassman,15.01.20,11111,Clothing,Men,Jackets,MJ04,Kenobi Trail Jacket,160,43,147.50 ,0.10 ,7,301,154,51.0%
Franchise,Woodstock Ward,South Gloucestershire,Wrangle Hill Auto Auct & Slvg,15.01.20,11111,Clothing,Men,Tanks,MT04,Helios Endurance Tank,35,22,414.70 ,0.10 ,29,638,223,35.0%
Franchise,Abbey Ward,Buckinghamshire,Levy Security Consultants Ltd,16.01.20,28642,Clothing,Men,Shorts,MSH08-33-Black,Orestes Fitness Short-33-Black,160,42,725.80 ,0.00 ,27,1134,408,36.0%
Small chain store,Lancing,West Sussex,Mccartney Printing Services,16.01.20,15719,Clothing,Men,Pants,MP10,Orestes Yoga Pant ,25,44,506.90 ,0.10 ,18,792,285,36.0%
Supermarket,"Broxburn, Uphall and Winchburg",West Lothian,Mail Boxes Etc,16.01.20,28642,Clothing,Men,Hoodies & Sweatshirts,MH10-M-Black,Mach Street Sweatshirt -M-Black,65,44,865.90 ,0.00 ,41,1804,938,52.0%
Local store,West End Ward,Greater London,Exhibit Crafts Inc,17.01.20,49987,Clothing,Men,Tees,MS08-S-Black,Strike Endurance Tee-S-Black,35,16,56.00 ,0.00 ,14,224,168,75.0%
Local store,Dee Ward,Dumfries and Galloway,Regis Brd Pro Engrs & Land,17.01.20,36931,Clothing,Men,Tanks,MT01-XS-Red,Erikssen CoolTech&trade; Fitness Tank-XS-Red,35,17,242.40 ,0.10 ,46,782,540,69.0%
Franchise,Maybury and Sheerwater Ward,Surrey,Indiana Electronics Corp,17.01.20,16096,Clothing,Men,Tees,MS05-XS-Black,Helios EverCool&trade; Tee-XS-Black,60,12,61.60 ,0.00 ,9,108,46,43.0%
Small chain store,Abbey Ward,Buckinghamshire,"Mayo, Timothy L Esq",17.01.20,49987,Clothing,Men,Hoodies & Sweatshirts,MH02-M-Purple,Teton Pullover Hoodie-M-Purple,160,20,111.00 ,0.10 ,15,300,189,63.0%
Supermarket,Carbrooke,Norfolk,Office Service Co,17.01.20,49987,Clothing,Women,Hoodies & Sweatshirts,WH02-XS-Green,Hera Pullover Hoodie-XS-Green,205,42,55.40 ,0.00 ,4,168,113,67.0%
Supermarket,Abbey Road Ward,Greater London,Fast Cash,17.01.20,10722,Clothing,Men,Hoodies & Sweatshirts,MH04-L-Yellow,Frankie  Sweatshirt-L-Yellow,35,20,105.60 ,0.00 ,8,160,54,34.0%
Franchise,Abbey Ward,Buckinghamshire,El Hispanic News,18.01.20,22561,Clothing,Men,Pants,MP02-33-Gray,Viktor LumaTech&trade; Pant-33-Gray,160,32,96.00 ,0.00 ,5,160,64,40.0%
Franchise,Castle Ward,West Sussex,Office Service Co,18.01.20,22561,Clothing,Men,Shorts,MSH03-34-Green,Meteor Workout Short-34-Green,40,32,496.00 ,0.00 ,50,1600,1104,69.0%
Supermarket,"Broxburn, Uphall and Winchburg",West Lothian,Mail Boxes Etc,18.01.20,22561,Clothing,Men,Hoodies & Sweatshirts,MH07-XS-Black,Hero Hoodie-XS-Black,65,26,71.00 ,0.10 ,7,182,111,61.0%
Local store,Carbrooke,Norfolk,"Shannon, Paul V Esq",19.01.20,16837,Clothing,Men,Jackets,MJ04-S-Purple,Kenobi Trail Jacket-S-Purple,205,45,95.40 ,0.10 ,4,180,85,47.0%
Franchise,Abbey Ward,Buckinghamshire,Packaging Corp Of America,19.01.20,35399,Clothing,Women,Bras & Tanks,WB03-XL-Yellow,Celeste Sports Bra-XL-Yellow,160,10,235.60 ,0.00 ,38,380,144,38.0%
Franchise,Parwich,Derbyshire,Jeanettes Drapery & Upholstery,19.01.20,57217,Clothing,Men,Tees,MS07-L-Green,Deion Long-Sleeve EverCool&trade; Tee-L-Green,175,23,426.70 ,0.10 ,35,805,378,47.0%
Franchise,Parwich,Derbyshire,Rowley/hansell Petetin,19.01.20,6564,Clothing,Men,Hoodies & Sweatshirts,MH04-M-White,Frankie  Sweatshirt-M-White,175,35,509.60 ,0.00 ,26,910,400,44.0%
Franchise,Greets Green and Lyng Ward,West Midlands,Champagne Room,20.01.20,21606,Clothing,Men,Hoodies & Sweatshirts,MH04-M-Yellow,Frankie  Sweatshirt-M-Yellow,65,38,996.70 ,0.10 ,43,1634,637,39.0%
Franchise,Abbey Ward,Buckinghamshire,Allgood Industries,20.01.20,9824,Clothing,Men,Jackets,MJ02-L-Red,Hyperion Elements Jacket-L-Red,160,62,1439.60 ,0.10 ,43,2666,1226,46.0%
Franchise,Catterick,North Yorkshire,Sheraton Inn Ocean Front,20.01.20,9824,Clothing,Men,Tees,MS04-M-Red,Gobi HeatTec&reg; Tee-M-Red,40,20,405.60 ,0.00 ,39,780,374,48.0%
Small chain store,Loundsley Green Ward,Derbyshire,"Rosenkrance, Brent",20.01.20,9824,Clothing,Men,Jackets,MJ03-M-Green,Montana Wind Jacket-M-Green,55,45,69.80 ,0.00 ,5,225,155,69.0%
Small chain store,Loundsley Green Ward,Derbyshire,"Lynema, Cliff Cpa",20.01.20,21606,Clothing,Men,Pants,MP02-33-Red,Viktor LumaTech&trade; Pant-33-Red,55,44,535.90 ,0.10 ,29,1276,740,58.0%
Supermarket,Abbey Ward,Buckinghamshire,Milton Terry Associates,20.01.20,2883,Clothing,Men,Tees,MS08-XS-Black,Strike Endurance Tee-XS-Black,160,9,76.50 ,0.10 ,34,306,230,75.0%
Supermarket,Abbey Ward,Buckinghamshire,Olden Camera & Lens Co Inc,20.01.20,50208,Clothing,Women,Hoodies & Sweatshirts,WH05-XS-White,Selene Yoga Hoodie-XS-White,160,27,36.70 ,0.10 ,4,108,71,66.0%
Local store,"Broxburn, Uphall and Winchburg",West Lothian,Viking Lodge,21.01.20,49443,Clothing,Men,Tees,MS02-XS-Black,Ryker LumaTech&trade; Tee (V-neck)-XS-Black,155,16,426.40 ,0.10 ,41,656,230,35.0%
Local store,"Broxburn, Uphall and Winchburg",West Lothian,Air Tech Streamlining,22.01.20,386,Clothing,Men,Tees,MS08-S-Blue,Strike Endurance Tee-S-Blue,155,21,52.10 ,0.00 ,4,84,32,38.0%
Local store,Ryde,Isle of Wight,New York C Liquidators Inc,22.01.20,21890,Clothing,Men,Jackets,MJ03-XS-Green,Montana Wind Jacket-XS-Green,40,53,372.10 ,0.00 ,27,1431,1059,74.0%
Franchise,Weston-Super-Mare,North Somerset,Rug Gallery,22.01.20,47136,Clothing,Men,Tees,MS03-M-Gray,Balboa Persistence Tee-M-Gray,45,25,243.00 ,0.00 ,18,450,207,46.0%
Franchise,Abbey Road Ward,Greater London,Bedford Books St Martins Prs,22.01.20,49761,Clothing,Men,Jackets,MJ08-XL-Green,Lando Gym Jacket-XL-Green,35,62,1618.20 ,0.10 ,45,2790,1172,42.0%
Franchise,Bargate Ward,Southampton,"Dworkin, Michael L",22.01.20,21890,Clothing,Men,Jackets,MJ04-XL-Purple,Kenobi Trail Jacket-XL-Purple,35,53,722.90 ,0.10 ,44,2332,1609,69.0%
Franchise,Bargate Ward,Southampton,Coastal Technologies,22.01.20,386,Clothing,Men,Hoodies & Sweatshirts,MH03-XL-Blue,Bruno Compete Hoodie-XL-Blue,35,39,65.50 ,0.10 ,4,156,91,58.0%
Local store,St. Stephens Ward,Kent,Cash 4 Checks,23.01.20,25095,Clothing,Men,Jackets,MJ03-XS-Green,Montana Wind Jacket-XS-Green,40,60,1033.20 ,0.10 ,41,2460,1427,58.0%
Franchise,Castle Ward,West Sussex,Office Service Co,23.01.20,33091,Clothing,Women,Hoodies & Sweatshirts,WH07-M-White,Phoebe Zipper Sweatshirt-M-White,40,41,629.80 ,0.00 ,24,984,354,36.0%
